날짜,지역,카테고리,제품,판매수량,단가,매출,담당자
2025-01-02,대구,노트북,그램 17,21,2390000,50190000,이서연
2025-01-14,부산,노트북,그램 프로,13,3290000,42770000,김민준
2025-01-15,광주,모바일,플래그십 스마트폰,10,1350000,13500000,김민준
2025-01-17,서울,노트북,그램 프로,9,3290000,29610000,이서연
2025-01-19,대구,액세서리,무선이어폰,11,290000,3190000,박지호
2025-01-19,인천,모바일,폴더블폰,4,2100000,8400000,김민준
2025-01-20,인천,액세서리,무선이어폰,7,290000,2030000,박지호
2025-01-21,서울,가전,시그니처 냉장고,7,4500000,31500000,정도윤
2025-01-26,부산,가전,시그니처 냉장고,25,4500000,112500000,이서연
2025-01-27,대구,가전,프리미엄 에어컨,14,2200000,30800000,김민준
2025-02-04,광주,가전,스타일러,3,1800000,5400000,이서연
2025-02-05,인천,가전,프리미엄 에어컨,8,2200000,17600000,김민준
2025-02-07,광주,가전,시그니처 냉장고,5,4500000,22500000,박지호
2025-02-08,인천,모바일,플래그십 스마트폰,14,1350000,18900000,한수아
2025-02-11,인천,모바일,플래그십 스마트폰,8,1350000,10800000,한수아
2025-02-13,인천,모바일,플래그십 스마트폰,18,1350000,24300000,정도윤
2025-02-18,대구,가전,프리미엄 에어컨,14,2200000,30800000,최유나
2025-02-21,광주,가전,프리미엄 에어컨,7,2200000,15400000,박지호
2025-02-22,대구,가전,스타일러,4,1800000,7200000,박지호
2025-02-24,광주,모바일,폴더블폰,10,2100000,21000000,이서연
2025-02-27,서울,노트북,그램 프로,8,3290000,26320000,이서연
2025-02-28,대구,노트북,그램 프로,4,3290000,13160000,최유나
2025-03-01,광주,액세서리,무선이어폰,22,290000,6380000,최유나
2025-03-02,대구,모바일,폴더블폰,23,2100000,48300000,정도윤
2025-03-03,광주,모바일,폴더블폰,4,2100000,8400000,한수아
2025-03-05,대구,액세서리,무선이어폰,18,290000,5220000,한수아
2025-03-06,광주,액세서리,무선이어폰,1,290000,290000,박지호
2025-03-07,인천,모바일,폴더블폰,22,2100000,46200000,한수아
2025-03-09,대구,노트북,그램 17,8,2390000,19120000,박지호
2025-03-09,인천,노트북,그램 프로,23,3290000,75670000,김민준
2025-03-11,인천,가전,스타일러,25,1800000,45000000,박지호
2025-03-17,인천,가전,시그니처 냉장고,25,4500000,112500000,이서연
2025-03-18,광주,가전,스타일러,19,1800000,34200000,이서연
2025-03-20,서울,모바일,폴더블폰,20,2100000,42000000,최유나
2025-03-20,인천,모바일,플래그십 스마트폰,14,1350000,18900000,박지호
2025-03-20,서울,모바일,플래그십 스마트폰,16,1350000,21600000,정도윤
2025-03-22,대구,액세서리,무선이어폰,24,290000,6960000,정도윤
2025-03-22,광주,액세서리,스마트워치,20,480000,9600000,김민준
2025-03-26,광주,노트북,그램 프로,7,3290000,23030000,한수아
2025-03-26,대구,액세서리,무선이어폰,13,290000,3770000,최유나
2025-03-26,광주,액세서리,무선이어폰,20,290000,5800000,김민준
2025-03-26,서울,노트북,그램 프로,15,3290000,49350000,최유나
2025-03-31,서울,노트북,그램 프로,18,3290000,59220000,박지호
2025-03-31,부산,액세서리,스마트워치,9,480000,4320000,정도윤
2025-04-01,부산,액세서리,무선이어폰,18,290000,5220000,김민준
2025-04-02,광주,가전,프리미엄 에어컨,10,2200000,22000000,정도윤
2025-04-02,광주,노트북,그램 17,4,2390000,9560000,최유나
2025-04-04,대구,액세서리,무선이어폰,12,290000,3480000,박지호
2025-04-05,인천,모바일,플래그십 스마트폰,24,1350000,32400000,박지호
